ingredient_name,mind_diet,mediterranean_diet,dash_diet,table_nutrition
Gouda Cheese,no,yes,no,
Grapefruit,yes,yes,yes,yes
Grapes,yes,yes,yes,yes
Green Peas,yes,no,yes,yes
Green Tea,no,no,no,yes
"Grits (whole grain, cooked)",yes,yes,no,yes
GruyÃÂ¨re Cheese,no,yes,no,
Hazelnuts,yes,yes,yes,yes
Heirloom Corn,yes,yes,no,no
Herring,yes,yes,yes,no
Hominy Corn,yes,yes,no,no
Honey,no,no,no,no
Horseradish,no,no,no,no
Kale,yes,yes,yes,yes
Kefir,no,no,no,yes
Kidney Beans,yes,yes,yes,yes
Kimchi,yes,yes,yes,yes
Kiwis,yes,no,yes,yes
Kombucha (Unsweetened),no,no,no,no
Krill Oil,no,no,no,no
Lamb,,,,
Lemon,yes,yes,yes,yes
Lentil Pasta,yes,yes,yes,yes
Lentils,yes,yes,yes,yes
Limburger Cheese,yes,no,no,yes
Liver,,,,
Low-fat Milk,yes,no,no,no
Lupins,no,yes,yes,yes
Macadamia Nuts,yes,yes,yes,yes
Mackerel,yes,yes,yes,yes
Millet,yes,yes,no,no
Miso,no,no,no,yes
Mozzarella Cheese (if fermented),no,yes,No,yes
Mulberries,yes,yes,no,yes
Mulberries (Dried),yes,yes,no,yes
Mung Beans,yes,yes,yes,yes
Mushrooms,yes,no,no,no
Mustard Greens,yes,yes,yes,yes
Natto,no,no,no,yes
Navy Beans,yes,yes,yes,yes
Oat-based Bars,yes,yes,yes,no
Oats/Oat Groats/Steel Cut/Rolled,yes,yes,yes,no
Olives,yes,yes,yes,yes
Olive Oil,yes,yes,yes,yes
Onions,no,no,no,no
Orange,yes,yes,yes,yes
Paprika,no,no,no,no
Parmesan Cheese,no,yes,no,yes
Passion Fruit,yes,no,yes,yes
Peanuts,no,no,no,no
Pecans,yes,yes,yes,yes
Pinto beans,yes,yes,yes,yes
Pistachios,yes,yes,yes,yes
Plums,yes,yes,yes,yes
Polenta (cooked),no,no,no,no
Pork,,,,
Provolone Cheese,no,yes,No,
Prunes,yes,yes,yes,yes
Pumpkin Seeds,no,no,no,yes
Purple Corn,yes,yes,no,no
Quinoa,yes,yes,yes,yes
Quinoa Pasta,yes,yes,yes,yes
Raisins,yes,no,yes,yes
Raspberries,yes,yes,no,yes
Roasted Edamame,yes,yes,yes,yes
Romaine,yes,no,yes,yes
Romano Cheese,no,yes,No,
Rosemary,no,no,no,no
Sage,no,no,no,no
Salmon,yes,yes,yes,yes
Sardines,yes,yes,yes,yes
Sauerkraut,yes,yes,yes,yes
Sea Bass,yes,yes,yes,yes
Seaweed Snacks,no,no,no,yes
Semolina Pasta,no,no,no,no
Sesame Seeds,no,no,no,yes
Sourdough Pasta ,no,no,no,no
Soy Milk,yes,yes,yes,yes
Soybeans,yes,yes,yes,yes
Spelt Pasta,yes,yes,yes,yes
Spinach,yes,yes,yes,yes
Spinach Pasta,yes,yes,yes,yes
Split Peas,yes,no,yes,yes
Squash,yes,yes,yes,yes
Strawberries,yes,yes,no,yes
Sturgeon,yes,yes,yes,yes
Sunflower Seeds,no,no,no,yes
Sweet Corn,yes,yes,no,no
Sweet Potatoes,yes,no,yes,yes
Swiss Chard,yes,yes,yes,yes
Swiss Cheese,no,yes,No,yes
Tempeh,no,yes,yes,yes
Tilsit Cheese,no,yes,No,yes
Tofu,no,yes,yes,yes
Tomatoes,yes,yes,yes,yes
Trout,yes,yes,yes,yes
Turkey,no,no,no,yes
Tumeric,yes,yes,yes,yes
Walnuts,yes,yes,yes,yes
Wasabi,no,no,no,no
Watermelon,yes,yes,yes,yes
Whole Grain Bread,no,no,no,yes
Whole Grain Pasta (non-wheat options),yes,yes,yes,yes
Whole Grain Seed Crackers,yes,yes,yes,yes
Whole Wheat,yes,yes,yes,yes
Whole Wheat Pasta,yes,yes,yes,yes
Yellow Catfish,yes,yes,yes,yes
Yogurt (Fermented),no,yes,no,yes
Zucchini,yes,yes,yes,yes
