ingredient_name,aliases,category,serving_size,direct_cognitive_benefits,indirect_cognitive_benefits,key_nutrients,mechanisms,calories,mind_diet,mediterranean_diet,dash_diet,anti_inflammatory,gut_health/microbiome_support,carbohydrates_gm,glycemic_index,glycemic_load,protein_gm,fiber_gm
Avocados,,Berries,½ - 1,Avocados provide soluble fiber and monounsaturated fat. The fiber feeds gut microbes; one study found daily avocado increased gut microbial diversity and metabolites linked to gut-brain health. Lutein in avocado has been associated with better cognitive performance in older adults.,Improve heart health by lowering LDL and providing potassium (helps blood pressure control). Anti-inflammatory fats and antioxidants support metabolic health. Regular avocado intake is linked with improved diet quality and lower visceral fat.,"Phenolic compounds, carotenoids, tocopherols, phytosterols, acetogenins","Antioxidant, anti-inflammatory, heart health",120,yes,yes,yes,yes,prebiotic,2.5,10.0,0.9,2.0,7.0
Baked Chickpea Snacks,chickpeas,Brain-Healthy Snacks,Small handful or 1 portion pack,Roasted chickpea snacks retain fiber and resistant starch that feed beneficial gut bacteria. Including chickpeas in diet has been linked to improved cognitive flexibility via better glycemic control and gut health.,"High in plant protein, fiber, and low glycemic Ã¢ÂÂ support weight management and blood sugar stability. Chickpeas improve cholesterol levels and provide iron and B vitamins. Roasting increases crunch but preserves nutrients; watch added salt.",Bioactive peptides; Oleamide; Calcium; B12; Probiotics,"Reduces neuroinflammation, supporting neurotransmitter balance, and promoting brain health; Inhibit monoamine oxidase-B, increase dopamine; Enhances microglial A? clearance",130,yes,yes,yes,yes,prebiotic,17.5,10.0,6.1,20.0,12.0
Balsamic Vinegar,,Vinegar,1 - 2 tbsp,No direct evidence,"Diets rich in polyphenols (such as those found in vinegars) and adherence to Mediterranean dietary patterns, which may include balsamic vinegar, are associated with improved global cognition, memory, and executive function in older adults. These effects are likely due to antioxidant and anti-inflammatory properties of polyphenols and overall healthy dietary patterns","Contains organic acids, polyphenols, melanoidins, amino acids, vitamins, minerals","Provides antioxidative activity, regulates lipid metabolism, supports liver protection, blood pressure and glucose control, and may improve brain development",3,yes,yes,yes,yes,postbiotic,2.5,10.0,1-2,0.0,0.0
Barley,,Whole Grains,½ cup cooked / 1 slice bread (½ fist),"Rich in ÃÂ²-glucan fiber which promotes gut bacteria that produce SCFAs, supporting brain health. Whole-grain barley intake is associated with better cognitive function in high-fiber diets.",Significantly lowers LDL cholesterol and improves insulin sensitivity. BarleyÃ¢ÂÂs soluble fiber helps regulate blood sugar and body weight. Also contains selenium and B vitamins for immune and metabolic support.,"Soluble fiber (?-glucans), protein, B vitamins, minerals, phenolic compounds","Heart health, glycemic control, gut health, antioxidant",100,yes,yes,yes,yes,prebiotic,37.5,30.0,31,10.0,17.0
Beet Pasta,,Pasta,1 cup,"Pasta made with beet adds fiber and polyphenols from beets, providing some prebiotic benefit. This can modestly improve gut microbiota vs. refined pasta, potentially supporting brain health (though evidence specific to beet pasta is lacking).","Provides more vitamins (folate, betaine) than regular pasta. The added beet may help lower blood pressure slightly and adds antioxidants. Overall healthier than plain refined pasta. Beneficial for those seeking more fiber in comfort foods.","Nitrates, Folate, Manganese",Beetroot nitrates enhance cerebral blood flow; antioxidant support,210,yes,yes,yes,yes,prebiotic,32.5,49.0,45,5.0,3.0
Beets,salad,Vegetables,½ cup cooked / 1 cup raw (baseball size),High in nitrates which improve cerebral blood flow and executive function in older adults. Beetroot also offers fiber and polyphenols that feed gut microbes; beet consumption has been linked to enhanced brain oxygenation and possibly better cognition in trials.,Lowers blood pressure and improves endothelial function via nitric oxide. Betalain antioxidants reduce inflammation and oxidative stress. Supports liver detoxification. Beet nitrates may enhance exercise performance and vascular health.,"nitrates, betalains (antioxidants), fiber, and folate","Potential improved blood flow, cognitive support; Vascular and antioxidant effects",35,yes,yes,yes,yes,prebiotic,9.0,64.0,5.66,1.6,2.8
Bell Peppers,salad,Vegetables,½ cup cooked / 1 cup raw (baseball size),"Bell peppers contain fiber and vitamin C. The fiber supports gut health. High vitamin C and carotenoids in peppers reduce neuroinflammation and oxidative stress, which is associated with better cognitive aging.","Rich in antioxidants (vitamin C, carotenoids like luteolin) that support immune function and skin health. May help lower inflammation and blood pressure. Low-calorie, improves overall diet quality. Red peppers especially high in anti-inflammatory carotenoids.","Vitamins (C, A), minerals, fiber, phytochemicals",,25,no,no,no,yes,no,4.0,15.0,0.8,1.0,1.5
Bilberries (Dried),dried bilberries,Dried fruit,¼ cup (<cupped palm),Dried bilberries (wild European blueberries) are extremely rich in anthocyanins which improve memory and cognitive performance. Polyphenols reach the colon where gut microbes metabolize them to neuroprotective compounds.,Anthocyanins in bilberries improve endothelial function and lower blood pressure. Dried bilberries retain antioxidant capacity and have anti-inflammatory effects. They may improve night vision and capillary health (traditional use).,"Anthocyanins, flavonoids, vitamin C, fiber","Antioxidant, eye health, anti-inflammatory",110,yes,yes,no,yes,prebiotic,22.5,53.0,50,2.0,6.0
Black Beans,,Beans,½ cup cooked (small fist),High in fiber (soluble and resistant starch) which fosters SCFA-producing gut bacteria and is associated with better cognitive function. Black bean polyphenols (dark skin) have neuroprotective antioxidant effects.,Improve cardiovascular health by lowering cholesterol and blood pressure (rich in potassium and magnesium). Help stabilize blood sugar and support weight management. Black beansÃ¢ÂÂ anthocyanins also confer anti-oxidant and anti-inflammatory benefits.,"Protein, fiber, minerals, carotenoids, polyphenols","Antioxidant, heart health, digestive health",115,yes,yes,yes,yes,prebiotic,22.5,30.0,7,21.0,16.0
Black currants (Dried),dried black currants,Dried fruit,¼ cup (<cupped palm),Packed with anthocyanins and vitamin C Ã¢ÂÂ potent antioxidants that cross the blood-brain barrier. Blackcurrant extracts have shown improved cognitive performance (attention/mood) in human trials by reducing monoamine oxidase and oxidative stress. Gut bacteria metabolize blackcurrant polyphenols into anti-inflammatory metabolites.,High vitamin C boosts immune function and arterial health. Blackcurrants reduce oxidative stress and have been associated with improved microcirculation. Anthocyanin-rich diets correlate with lower cardiovascular disease risk and improved endothelial function.,"Anthocyanins, vitamin C, polyphenols, fiber","Antioxidant, immune support, anti-inflammatory",95,yes,yes,yes,yes,prebiotic,22.5,10.0,6.1,3.0,7.0
Blackberries,"berries, berry",Berries,½ cup (cupped palm),Rich in anthocyanin flavonoids recognized for protecting against neurodegenerative diseases. Diets high in berries (including blackberries) are associated with slower cognitive decline. Fiber and polyphenols in blackberries modulate gut microbiota and reduce brain inflammation.,Lower systemic inflammation and oxidative stress markers. High fiber supports digestive health and cardiovascular health (helps cholesterol). BlackberriesÃ¢ÂÂ antioxidants contribute to reduced cancer risk and improved insulin sensitivity.,"Anthocyanins, flavonoids, tannins, vitamin C, fiber","Antioxidant, anticancer, cardiovascular",30,yes,yes,yes,yes,prebiotic,8.5,25.0,2,1.4,5.3
Blue Cheese,,Soft/Semi-Soft FermentedCheese,1 cup,"Blue cheese, as a fermented dairy product, is associated with better cognitive function, including improved memory, executive function, and reduced risk of cognitive decline. Camembert cheese intake (a type of blue cheese) is linked to a lower likelihood of mild cognitive decline and higher scores on cognitive tests in older adults. Cheese consumption in general shows a positive association with intelligence and cognition-related traits in large genetic and epidemiological studies.","Blue cheese provides essential nutrients (proteins, minerals, vitamins, bioactive peptides, and amino acids) that support overall brain health. Fermented dairy products like blue cheese may help prevent cardiovascular disease and diabetes, which are risk factors for cognitive decline. Cheese is part of dietary patterns (such as the Mediterranean diet) that are linked to healthy cognitive aging. Socioeconomic and lifestyle factors may also contribute to the observed benefits.","High-quality proteins, essential amino acids, bioactive peptides (including ÃÂ²-casomorphins), vitamins (notably B12 and D), minerals (calcium, magnesium, zinc, iron, selenium), short- and medium-chain fatty acids, phenolic compounds (gallic acid, catechin, rutin), and secondary metabolites from Penicillium roqueforti (e.g., andrastins, mycophenolic acid, roquefortine C).","Proteolysis and lipolysis by Penicillium roqueforti and lactic acid bacteria release bioactive peptides with antioxidant, antimicrobial, anti-inflammatory, antihypertensive, immunomodulatory, and opioid-like activities. These processes also enhance mineral bioavailability and generate flavor compounds. Secondary metabolites from the mold contribute to unique sensory properties and may have additional bioactivities",90,no,yes,no,yes,probiotic;postbiotic,0.5,0.0,0,21.0,0.0
Blue Corn,corn,Corn,1 cup,Contains anthocyanins (giving the blue color) and fiber. These compounds act as prebiotics and antioxidants; blue corn may improve gut microbiota composition and reduce inflammation. Whole blue corn products can support cognitive health via vascular benefits of anthocyanins (improved cerebral blood flow).,More antioxidants than yellow corn. Whole blue corn has a lower glycemic index and can improve metabolic markers compared to refined grains. Provides magnesium and fiber for heart health. Potentially anti-inflammatory due to anthocyanins.,"complex carbohydrates, fiber, some carotenoids (lutein, zeaxanthin), and B vitamins","Fiber and micronutrients may support vascular and metabolic health, indirectly benefiting cognition",90,yes,yes,no,no,prebiotic,22.5,68.0,50,8.0,7.0
Blueberries,"berries, berry",Berries,½ cup (cupped palm),"Extensive human evidence: Ã¢ÂÂ¥1 serving of blueberries/week is associated with slower cognitive decline. RCTs: 0.5Ã¢ÂÂ1 cup daily improved memory and executive function in older adults. Mechanistically, blueberry polyphenols are metabolized by gut microbes into bioactives that reduce neuroinflammation and improve vascular health.",Regular blueberry intake lowers blood pressure and improves endothelial function. Meta-analyses show anthocyanin-rich berries reduce LDL and CRP (inflammation). Also linked to better metabolic profiles (improved insulin sensitivity).,"Anthocyanins, flavonoids, phenolic acids, vitamin C, fiber","Antioxidant, anticancer, anti-inflammatory",42,yes,yes,yes,yes,prebiotic,12.5,53.0,4,0.7,2.4
Brazil Nuts,,Nuts,1 oz (small handful),"Rich in selenium, an antioxidant mineral important for brain function. Selenium and fiber help reduce oxidative stress and may benefit the gut-brain axis by supporting antioxidant enzymes (which protect neurons). In older adults, maintaining adequate selenium is linked to better cognitive performance.","Just 1Ã¢ÂÂ2 Brazil nuts can fulfill daily selenium needs, improving antioxidant status (e.g., glutathione peroxidase activity) and potentially reducing inflammation. Supports thyroid function (indirectly affecting metabolism). Beneficial fats improve lipid profiles.","Healthy fats (MUFA), protein, magnesium, polyphenols, phytosterols","Heart health, antioxidant, metabolic support",185,yes,yes,yes,yes,prebiotic,3.5,10.0,0,14.0,8.0
Brie Cheese,,Soft/Semi-Soft FermentedCheese,1 cup,"Aged soft cheese with white mold rind. Contains some probiotic microbes (Penicillium and bacteria) during fermentation, though many may not survive digestion. No direct evidence for cognitive benefit; high saturated fat content means brie is not emphasized for brain health. Any benefit likely from small amounts of dairy peptides and vitamin KÃ¢ÂÂ produced.","Provides calcium and protein for bone and muscle health. BrieÃ¢ÂÂs fermentation generates bioactive peptides that can have mild anti-inflammatory or blood pressure-lowering effects. However, it is high in fat and should be eaten sparingly to avoid raising LDL cholesterol.","Protein, calcium, B vitamins, bioactive peptides, vitamin K2, probiotics (surface-ripened), minerals","Bone health, metabolic health, gut health, immune support",95,no,yes,no,no,probiotic;postbiotic,0.5,0.0,0,21.0,0.0
Broccoli,salad,Vegetables,½ cup cooked / 1 cup raw (baseball size),"Cruciferous vegetable high in fiber and sulforaphane. Fibers support gut microbes; higher vegetable intake (especially crucifers) correlates with slower cognitive decline in observational studies. Sulforaphane may activate antioxidant defenses in the brain, potentially protecting against neurodegeneration.","Strong anti-cancer properties (sulforaphane induces detox enzymes). Lowers inflammation and supports heart health (broccoli consumption linked to better arterial health). Provides folate, vitamin K, C for immune support. Helps improve lipid profiles and insulin sensitivity.","Glucosinolates, S-methyl cysteine sulfoxide, phenolic compounds, dietary fiber","Anti-inflammatory, May reduce oxidative stress and support vascular health, indirectly benefiting cognition",27,yes,yes,yes,yes,prebiotic,5.0,15.0,0.4,2.8,2.6
Brown Rice,,Whole Grains,½ cup cooked / 1 slice bread (½ fist),"Whole-grain brown rice is rich in fiber and B vitamins that support the nervous system. Fiber promotes a healthy gut microbiome, which is linked to better cognitive health. Low glycemic index can help maintain stable energy supply to the brain.",Replacing refined grains with brown rice improves glycemic control and lowers risk of type 2 diabetes. Brown rice intake is associated with lower risk of cardiovascular disease (due to fiberÃ¢ÂÂs cholesterol-lowering effect). Provides magnesium and selenium.,"Fiber, B vitamins, minerals, phenolic acids, plant sterols, carotenoids","Antioxidant, metabolic health, digestive health",110,yes,yes,yes,no,prebiotic,37.5,55.0,17,7.5,3.5
Brown Rice Pasta,,Pasta,1 cup,"Made from whole-grain brown rice, it retains fiber that nourishes gut bacteria. A better choice than refined pasta for microbiome health, contributing to sustained cognitive energy and less post-meal glucose spikes (which can impair cognition acutely).","Gluten-free whole-grain option; provides more fiber and minerals than regular pasta, aiding in cholesterol reduction and improved digestive health. Helps maintain steady blood sugar, beneficial for metabolic health and weight management.","Magnesium, Selenium, Manganese","Provides fiber, minerals, and lower GI than white rice; suitable for gluten-free diets",230,yes,yes,yes,no,prebiotic,37.5,45.0,55,7.0,3.0
Brussel Sprouts,salad,Vegetables,½ cup cooked / 1 cup raw (baseball size),Fiber-rich cruciferous vegetable with glucosinolates. Prebiotic fiber supports beneficial gut bacteria; higher intake of cruciferous veggies is linked to slower rate of cognitive decline in aging. Also a good source of vitamin C and K for neuronal health.,Powerful anti-inflammatory and anti-cancer effects (glucosinolate metabolites). Improve arterial health Ã¢ÂÂ one study linked crucifer intake with less arterial plaque. Fiber helps lower LDL. Supports detoxification enzymes and immune function.,"Glucosinolates, S-methyl cysteine sulfoxide, phenolic compounds, dietary fiber","Anti-inflammatory, May reduce oxidative stress and support vascular health, indirectly benefiting cognition",28,yes,yes,yes,yes,prebiotic,7.0,15.0,1,3.4,3.8
Buckwheat (Soba) Noodles,"buckwheat noodles, soba noodles",Pasta,1 cup,Made from buckwheat (which is actually a seed rich in polyphenols like rutin and fiber). BuckwheatÃ¢ÂÂs prebiotic fiber and antioxidants support gut health and may improve mental clarity by stabilizing blood sugar. Traditional diets with buckwheat have been noted for cardiovascular and cognitive health.,"Gluten-free and low glycemic, helping regulate blood sugar and reduce risk of diabetes. Rutin in buckwheat strengthens blood vessels and has anti-hypertensive effects. Improves lipid profile (shown to lower LDL). Anti-inflammatory and beneficial for circulation.","Manganese, Magnesium, Rutin",Rich in flavonoids (rutin); anti-inflammatory and vascular protective effects,220,yes,yes,yes,yes,prebiotic,32.5,45.0,50,8.0,3.0
Cabbage,salad,Vegetables,½ cup cooked / 1 cup raw (baseball size),"Fiber (including prebiotic pectins) supports gut microbial diversity. Diets rich in brassica vegetables like cabbage are associated with a lower risk of dementia and cognitive decline, possibly via antioxidant and anti-inflammatory effects. Sauerkraut (fermented cabbage) has probiotics improving gut-brain axis, though plain cabbage is not probiotic unless fermented.","Raw or cooked, cabbage provides vitamin C, K, and polyphenols. Regular intake is linked to reduced cancer risk (especially colon cancer). Helps lower LDL and improve gut health (especially when fermented). Red cabbage anthocyanins further reduce inflammation and support vascular health.","Glucosinolates, S-methyl cysteine sulfoxide, phenolic compounds, dietary fiber","Anti-inflammatory, May reduce oxidative stress and support vascular health, indirectly benefiting cognition",17,yes,yes,yes,yes,prebiotic,4.0,10.0,0.5,1.3,2.5
Cacao,,Seeds,1 - 2 tbsp,"Unprocessed cacao is extremely rich in flavanols. Cocoa flavanols increase beneficial gut bacteria like Lactobacillus and Bifidobacterium, and are linked to improved memory and executive function in humans (cocoa improved cognitive performance in older adults in multiple trials). Flavanols enhance cerebral blood flow and neuroplasticity.",Lowers blood pressure and improves endothelial function (dark chocolate/cocoa intake causes vasodilation). Powerful antioxidant activity reduces oxidative stress. Associated with improved insulin sensitivity and lower diabetes risk. Mood-elevating properties via increased serotonin and endorphins.,"Flavonoids (catechins, epicatechins), polyphenols, methylxanthines (theobromine, caffeine), biogenic amines, melanoidins, isoprostanoids, oxalates","Antioxidant, anti-inflammatory, cardiovascular protection, anti-cancer, anti-diabetes, neuroprotection",12,yes,no,no,yes,prebiotic,12.5,23.0,2,20.0,33.0
Camembert Cheese,,Soft/Semi-Soft FermentedCheese,1 cup,Similar fatty acid profile to olive oil (high oleic). Contains tea polyphenols (if cold-pressed) that can modulate gut microbiota favorably (green tea compounds are known to stimulate beneficial microbes). These antioxidants may contribute to neuroprotection and improved cognitive function (green tea intake linked to better cognitive health).,"High in monounsaturated fats Ã¢ÂÂ supports heart health by improving cholesterol ratios and reducing blood pressure. Rich in vitamin E and polyphenols, giving anti-inflammatory effects. Traditionally associated with beneficial effects on skin and metabolic health in East Asian diets.","Protein, calcium, B vitamins, bioactive peptides, vitamin K2, probiotics (surface-ripened), minerals","Bone health, metabolic health, gut health, immune support",85,no,yes,no,yes,probiotic;postbiotic,0.5,0.0,0,20.0,0.0
Capers,,Capers,3Ã¢ÂÂ4 oz,"Soft fermented cheese with mold culture. Contains some bioactive peptides and possibly surface bacteria; however, like other cheeses, high saturated fat reduces any direct cognitive benefit. No strong evidence for Camembert aiding cognition. Any minor benefit would be due to fermentation byproducts (which might have anti-inflammatory properties).","Provides calcium and protein. Fermentation yields a small amount of vitamin KÃ¢ÂÂ for bone health. Some strains in Camembert (Penicillium candidum) may produce anti-microbial compounds beneficial for gut health. Nevertheless, should be limited due to salt and saturated fat content (excess linked to CVD).","Polyphenols, flavonoids, quercetin, rutin, vitamins, minerals","Antioxidant, anti-inflammatory, antimicrobial",,no,no,no,no,no,1.5,0.0,0,2.0,3.2
Carrots,salad,Vegetables,½ cup cooked / 1 cup raw (baseball size),"High in monounsaturated fat (and some omega-3 ALA). Switching to canola from saturated fat can improve overall vascular health, indirectly supporting brain perfusion. Not a prebiotic, but a moderate omega-3 source which may help maintain a healthier gut microbiota profile.","Lowers LDL cholesterol when used instead of butter due to its unsaturated fat content. Often fortified with vitamin E and K. CanolaÃ¢ÂÂs omega-3 (ALA) may reduce inflammation modestly. A neutral-flavored, heart-healthy cooking oil when used at appropriate temperatures.","carotenoids (?- and ?-carotene), phenolics, polyacetylenes, ascorbic acid (vitamin C), and fiber. Different colored carrots provide lutein, lycopene, anthocyanins, and phenolic compounds","Improved cognition, slower decline; Antioxidant, anti-inflammatory effects",25,yes,yes,yes,yes,prebiotic,7.0,20.0,10,0.9,2.8
Cashews,,Nuts,1 oz (small handful),"Capers are rich in quercetin and other polyphenols which act as prebiotic substrates for gut microbes. These compounds have neuroprotective antioxidant effects. Though consumed in small quantities, capersÃ¢ÂÂ flavonoids may help reduce neuroinflammation and support brain health.","Contain potent antioxidants (quercetin) that improve capillary function and may lower inflammation. Traditionally used for their anti-flatulent and anti-rheumatic properties. High in sodium (due to brining), so use sparingly if watching blood pressure. Overall contribute to Mediterranean diet benefits (heart health).","Vitamin E (?-tocopherol), MUFA, fiber, polyphenols, phytosterols; calcium, iron, magnesium, phosphorous, potassium, zinc, copper, vitamin C, vitamin K, manganese, niacin, and folate","Antioxidant, heart health, neuroprotection",155,yes,yes,yes,yes,prebiotic,8.5,0.0,0,18.0,3.3
Cauliflower,salad,Vegetables,½ cup cooked / 1 cup raw (baseball size),Provide soluble fiber (pectin) that feeds gut bacteria and helps produce SCFAs beneficial for brain health. High in beta-carotene and lutein Ã¢ÂÂ antioxidants linked to better cognitive performance in aging (these nutrients accumulate in the brain and protect neurons).,Beta-carotene in carrots supports immune function and vision. Regular carrot intake is associated with lower risk of CVD (fiber helps lower cholesterol). Antioxidant properties combat oxidative stress. Lowers risk of certain cancers (like lung) in some studies.,"Glucosinolates, S-methyl cysteine sulfoxide, phenolic compounds, dietary fiber","Anti-inflammatory, May reduce oxidative stress and support vascular health, indirectly benefiting cognition",14,yes,yes,yes,yes,prebiotic,2.5,35.0,2,1.9,2.0
Celery,salad,Vegetables,1 Medium stalk,"Contain fiber and polyphenols (especially in the skin, if present) that support a healthy gut microbiome. Cashews also provide iron and zinc for neuronal health. While not as studied as walnuts, nut consumption in general (including cashews) is linked to better cognitive aging.","Improve blood lipid levels Ã¢ÂÂ studies show diets including cashews can raise HDL and lower triglycerides. Good source of magnesium which aids metabolic health and may improve insulin sensitivity. Protein and healthy fats support satiety and weight management. However, slightly lower fiber than almonds/walnuts.","Fiber, vitamins (K, C), minerals, phytochemicals","Antioxidant, cardiovascular health, anti-inflammatory",6,yes,yes,yes,yes,prebiotic,1.5,27.0,2,0.7,1.6
Cheddar Cheese,,Aged/Hard Fermented Cheese,1 cup,"Fiber-rich crucifer aiding gut health. Also a good source of choline Ã¢ÂÂ a precursor for acetylcholine, the neurotransmitter vital for memory. Thus, cauliflower provides both prebiotic fibers and brain-essential nutrients. High choline intake is linked to better cognitive performance in older adults.","Low in calories yet high in vitamin C, K, and folate. Supports heart health by providing antioxidants and anti-inflammatory compounds. Cauliflower (especially if consumed as part of a balanced diet) helps improve endothelial function and may assist in weight management due to its fiber and volume.","Protein, calcium, B vitamins, bioactive peptides (antihypertensive, antioxidant, antimicrobial), vitamin K2 (notably in aged/fermented types), minerals","Bone health, muscle support, blood pressure regulation, cardiovascular health, immune support",115,no,yes,No,,probiotic;postbiotic,0.5,15.0,0.4,25.0,0.0
